I,II,III,IV,V,VI
,302200001,301106000,301101000,302100000,301100000
,302210001,301200001,301102000,301103000,301104000
,,,302101000,302211000,301105000
,,,302104000,302103000,301109000
,,,302105000,302201000,
,,,301108000,301107000,
,,,301110000,302107000,
,,,302106000,301111000,
,,,,302108000,
,,,,301112000,
,,,,301113000,
