Cen_2001,Neighbour,TransactionAmt
3002000240208000,3002000240204000,5
3002000240208000,3002000240209000,5
3002000240208000,3002000240205000,5
3002000240208000,3002000240207000,5
3001000340122000,3001000340119000,5
3001000340122000,3001000340120000,5
3001000340122000,3001000340121000,5
3001000640124000,3001000640127000,5
3001000640124000,3001000640126000,5
3001000640124000,3001000640125000,5
3002000240205000,3002000240208000,5
3002000240205000,3002000240207000,5
3002000240205000,3002000240206000,5
3001000240108000,3001000240107000,5
3001000240108000,3001000240109000,5
3001000340121000,3001000340122000,5
3001000340121000,3001000340120000,5
3001000240109000,3001000240108000,5
3001000440115000,3001000440116000,5
3002000140202000,3002000140201000,5
3001000340119000,3001000340122000,5
3002000240215000,3002000240216000,5
3001000240104000,3001000240103000,5
3001000240104000,3001000240105000,5
3002000240216000,3002000240215000,5
3002000340212000,3002000440211000,5
3002000340212000,3002000440213000,5
3001000640127000,3001000640124000,5
3001000640127000,3001000640126000,5
3002000240209000,3002000240204000,5
3002000240209000,3002000240208000,5
3002000240209000,3002000240210000,5
3001000240106000,3001000240105000,5
3001000240106000,3001000240112000,5
3001000240106000,3001000240107000,5
3001000240105000,3001000240104000,5
3001000240105000,3001000240103000,5
3001000240105000,3001000240106000,5
3002000240204000,3002000240208000,5
3002000240204000,3002000240209000,5
3002000240204000,3002000240210000,5
3002000140201000,3002000140202000,5
3002000240207000,3002000240208000,5
3002000240207000,3002000240205000,5
3002000240207000,3002000240206000,5
3001000340120000,3001000340122000,5
3001000340120000,3001000340121000,5
3001000240111000,3001000240110000,5
3001000640126000,3001000640127000,5
3001000640126000,3001000640124000,5
3001000640126000,3001000640125000,5
3001000640125000,3001000640124000,5
3001000640125000,3001000640126000,5
3001000240110000,3001000240111000,5
3001000240107000,3001000240106000,5
3001000240107000,3001000240108000,5
3002000440213000,3002000340212000,5
3001000440116000,3001000440115000,5
3002000440211000,3002000340212000,5
3002000240210000,3002000240204000,5
3002000240210000,3002000240209000,5
3001000240103000,3001000240104000,5
3001000240103000,3001000240105000,5
3001000240112000,3001000240106000,5
3002000240206000,3002000240205000,5
3002000240206000,3002000240207000,5
