I,II,III,IV,V,VI
,305865616803249,305865617803252,305855614626869,305855610626704,305855610626691
,305865615803248,305855610803242,305865616626931,305855610626694,305855611626728
,305855611803243,305855614803247,305855612803244,305865616626929,305855611626734
,,305865615626886,305855610626695,305855609626658,305855611626727
,,,305855611626732,305855611626733,305855611626735
,,,305865619803254,305855614626872,305855610626692
,,,305855611626730,305855614626865,305855614626866
,,,305865616803250,305855610626697,305855609626660
,,,305855614626870,305855612626763,
,,,305865616626926,305865615626885,
,,,305865616626928,305865616626933,
,,,305865616626930,305855611626729,
,,,305855610626701,305865615626887,
,,,305865617803251,305855610626693,
,,,305865616626925,305855609626659,
,,,305855612803245,305855614626867,
,,,305865615626881,305855609626661,
,,,305855610626690,305855611626731,
,,,305855610626703,305855610626698,
,,,305855614626873,305865616626924,
,,,,305855613626842,
,,,,305855612626764,
,,,,305855609803241,
,,,,305855610626700,
,,,,305855614626868,
,,,,305855614626871,
,,,,305855610626699,
,,,,305855610626696,
,,,,305855610626702,
,,,,305865618803253,
,,,,305865618627021,
,,,,305855613803246,
,,,,305865616626932,
,,,,305865616626923,
,,,,305865617626969,
