Census_ID,Long,Lat,,,
305865619627026,74.09461,14.98145,,,
305865619803254,74.04005,15.00943,,,
305865619627024,74.06472,15.03112,,,
305865619627023,74.0016,15.0416,,,
305865617626954,74.01805,15.13325,,,`
305865617626950,73.99357,15.14038,,,
305865617626949,74.03036,15.15344,,,
305865618627014,74.10148,15.15532,,,
305865617626948,74.05098,15.16337,,,
305865616626922,73.97276,15.16571,,,
305865616626919,73.97438,15.18009,,,
305865616626920,73.94773,15.18387,,,
305865616803250,74.01406,15.18691,,,
305865617626947,74.04869,15.19193,,,
305865616626917,73.95401,15.20162,,,
305865616626933,73.9799,15.20375,,,
305865617803251,74.07368,15.20477,,,
305865617626942,74.12325,15.20889,,,
305865617626941,74.10093,15.20932,,,
305865616626918,73.96653,15.21324,,,
305865618627000,74.14891,15.213635,,,
305865616626914,74.00297,15.21827,,,
305865616626916,73.95248,15.22113,,,
305865616626912,74.0476,15.22222,,,
305865616626932,73.93854,15.2256,,,
305865616626915,73.97334,15.22695,,,
305865618803253,74.15205,15.22855,,,
305865616626913,74.02615,15.2287,,,
305865618627003,74.19203,15.23124,,,
305865617626940,74.06438,15.235711,,,
305865617626939,74.05399,15.23603,,,
305865616626908,73.98433,15.23848,,,
305865616626907,73.9613,15.24033,,,
305865617626969,74.0848,15.240685,,,
305865617803252,74.11593,15.24153,,,
305865617626938,74.05854,15.24651,,,
305865618626999,74.15717,15.24698,,,
305865616626910,74.03753,15.25124,,,
305865615626881,74.01111,15.25359,,,
305865616626930,73.96191,15.25363,,,
305865616626909,73.99529,15.25517,,,
305865616626931,73.93624,15.25792,,,
305865618626998,74.12855,15.25948,,,
305865617626934,74.06793,15.260317,,,
305865617626935,74.07939,15.262041,,,
305865617626937,74.0944,15.26316,,,
305865616626929,73.97076,15.2636,,,
305865616626906,73.93146,15.26524,,,
305865617626936,74.08372,15.26942,,,
305865616626905,73.92286,15.26994,,,
305865616626904,73.9343,15.27018,,,
305865616626928,73.98892,15.27049,,,
