Cen_2011,Neighbour,TransactionAmt
305855610626704,305855611626706,5
305855610626704,305855610626670,5
305855610626704,305855610626669,5
305855610626704,305855610626683,5
305855610626704,305855610626692,5
305855610626704,305855610626682,5
305855610626704,305855610626687,5
305855610626704,305855610626686,5
305855610626704,305855610626685,5
305855610626704,305855611626705,5
305855610626694,305855610626672,5
305855610626694,305855610626675,5
305855610626694,305855610626673,5
305855610626694,305855610626695,5
305865616626929,305865616803249,5
305865616626929,305865616626899,5
305865616626929,305865616626928,5
305865616626929,305865616626931,5
305865616626929,305865616626930,5
305865616626929,305865616626909,5
305865616626929,305865616626908,5
305855609626658,305855609626638,5
305855609626658,305855609626637,5
305855609626658,305855609626659,5
305855611626733,305855611626730,5
305855611626733,305855611626731,5
305855611626733,305855611803243,5
305855611626733,305855611626716,5
305855611626733,305855611626732,5
305855611626733,305855611626723,5
305855611626733,305855611626724,5
305855614626869,305855614626868,5
305855614626869,305855614626854,5
305855614626869,305855614626867,5
305855614626869,305855614626870,5
305855614626869,305855614803247,5
305855614626869,305855614626871,5
305855614626869,305855614626856,5
305865616626931,305865616626899,5
305865616626931,305865616626905,5
305865616626931,305865616626929,5
305865616626931,305865616626898,5
305865616626931,305865616626904,5
305865616626931,305865616626906,5
305865616626931,305865616626930,5
305865616626931,305865616626932,5
305855612803244,305855612626744,5
305855612803244,305855612626747,5
305855612803244,305855612626749,5
305855612803244,305855612626748,5
305855612803244,305855612626752,5
305855612803244,305855612626751,5
305855612803244,305855612626756,5
305855614626872,305855614626859,5
305855614626872,305855614626871,5
305855614626872,305855614626861,5
305855614626872,305855614626858,5
305855614626872,305855614626863,5
305855610626695,305855610626694,5
305855610626695,305855610626673,5
305855610626695,305855610626674,5
305855610626695,305855610626696,5
305855610626695,305855610626689,5
305855610626695,305855610626697,5
305855610626695,305855610626698,5
305855611626732,305855611626733,5
305855611626732,305855611626731,5
305855611626732,305855611803243,5
305865619803254,305865619627023,5
305865619803254,305865619627024,5
305865619803254,305865619627026,5
305855614626865,305855611626727,5
305855614626865,305855614626866,5
305855614626865,305855614626844,5
305855610626697,305855610626695,5
305855610626697,305855610626698,5
305855612626763,305855612626750,5
305855612626763,305855613626766,5
305855612626763,305855612626751,5
305855612626763,305855613626765,5
305855612626763,305855612803245,5
305855612626763,305855612626756,5
305855612626763,305855612626757,5
305855612626763,305855612626758,5
305865615626885,305865615803248,5
305865615626885,305865615626874,5
305855611626730,305855611626733,5
305855611626730,305855611626715,5
305855611626730,305855611626716,5
305865616626933,305865616626908,5
305865616626933,305865616626914,5
305865616626933,305865616626915,5
305865616626933,305865616626918,5
305865616626933,305865616803250,5
305865616626933,305865616626917,5
305865616626933,305865616626920,5
305865616626933,305865616626919,5
305855610626691,305855610626664,5
305855610626691,305855610626670,5
305855610626691,305855610626663,5
305855610626691,305855610803242,5
305855611626729,305855611626714,5
305855611626729,305855611626728,5
305855611626729,305855611626713,5
305855611626729,305855614626843,5
305855611626729,305855611626718,5
305855611626729,305855614626847,5
305855611626729,305855614626848,5
305865615626887,305865615626876,5
305865615626887,305865615626886,5
305865615626887,305865616626888,5
305865615626887,305865615626877,5
305855611626728,305855611626727,5
305855611626728,305855614626866,5
305855611626728,305855611626713,5
305855611626728,305855611626729,5
305855611626728,305855614626843,5
305865616803250,305865616626913,5
305865616803250,305865616626914,5
305865616803250,305865616626912,5
305865616803250,305865616626933,5
305865616803250,305865617626947,5
305865616803250,305865616626919,5
305865616803250,305865617626949,5
305865616803250,305865616626922,5
305865616803250,305865617626950,5
305865616803250,305865617626954,5
305865617803252,305855614626864,5
305865617803252,305865618627021,5
305865617803252,305865617626937,5
305865617803252,305865618626998,5
305865617803252,305865618626999,5
305865617803252,305865617626969,5
305865617803252,305865618803253,5
305865617803252,305865618627000,5
305865617803252,305865617626941,5
305865617803252,305865617626942,5
305855614626870,305855614626868,5
305855614626870,305855614626869,5
305855614626870,305855614803247,5
305855614626870,305855614626859,5
305865616626926,305865616626901,5
305865616626926,305865616626925,5
305865616626926,305865616803249,5
305865616626926,305865616626902,5
305865616626926,305865616626903,5
305865616626926,305865615626881,5
305865616626926,305865616626910,5
305865616626928,305865616803249,5
305865616626928,305865616626929,5
305865616626928,305865615626881,5
305865616626928,305865616626909,5
305855611626734,305855611626723,5
305855611626734,305855611626722,5
305855611626734,305855611626726,5
