Cen_2001,Neighbour,TransactionAmt
3001000240113000,3001000300006100,5
3001000240113000,3001000200003500,5
3001000240113000,3001000200003400,5
3001000240113000,3001000200005000,5
3001000240113000,3001000200004800,5
3001000240113000,3001000200004900,5
3001000240113000,3001000200005400,5
3001000240113000,3001000200005300,5
3001000240113000,3001000200005200,5
3001000240113000,3001000300006000,5
3002000240208000,3002000240204000,5
3002000240208000,3002000200023900,5
3002000240208000,3002000240209000,5
3002000240208000,3002000240205000,5
3002000240208000,3002000240207000,5
3002000240208000,3002000200025100,5
3002000240208000,3002000200025000,5
3001000340122000,3001000340119000,5
3001000340122000,3001000340120000,5
3001000340122000,3001000300007400,5
3001000340122000,3001000340121000,5
3001000340122000,3001000300008100,5
3001000340122000,3001000300008200,5
3001000640124000,3001000600020400,5
3001000640124000,3001000600020000,5
3001000640124000,3001000600020100,5
3001000640124000,3001000600020300,5
3001000640124000,3001000640127000,5
3001000640124000,3001000640126000,5
3001000640124000,3001000640125000,5
3002000240205000,3002000200023900,5
3002000240205000,3002000200024700,5
3002000240205000,3002000240208000,5
3002000240205000,3002000200023800,5
3002000240205000,3002000200024600,5
3002000240205000,3002000200024800,5
3002000240205000,3002000240207000,5
3002000240205000,3002000240206000,5
3001000440114000,3001000400008900,5
3001000440114000,3001000400009200,5
3001000440114000,3001000400009400,5
3001000440114000,3001000400009300,5
3001000440114000,3001000400009700,5
3001000440114000,3001000400009600,5
3001000440114000,3001000400010100,5
3001000240108000,3001000200003800,5
3001000240108000,3001000200003900,5
3001000240108000,3001000200004000,5
3001000240108000,3001000240107000,5
3001000240108000,3001000200005700,5
3001000240108000,3001000240109000,5
3001000240108000,3001000200005600,5
3001000340121000,3001000340122000,5
3001000340121000,3001000340120000,5
3002000540217000,3002000500035300,5
3002000540217000,3002000500035400,5
3002000540217000,3002000500035600,5
3001000240109000,3001000240108000,5
3001000240109000,3001000200005600,5
3001000440115000,3001000400009500,5
3001000440115000,3001000500010900,5
3001000440115000,3001000400009600,5
3001000440115000,3001000500010800,5
3001000440115000,3001000440116000,5
3001000440115000,3001000400010100,5
3001000440115000,3001000400010200,5
3001000440115000,3001000400010300,5
3002000140202000,3002000140201000,5
3002000140202000,3002000100021400,5
3001000340119000,3001000340122000,5
3001000340119000,3001000300007300,5
3001000340119000,3001000300007400,5
3002000240215000,3002000200025000,5
3002000240215000,3002000200025600,5
3002000240215000,3002000200025700,5
3002000240215000,3002000200026000,5
3002000240215000,3002000240216000,5
3002000240215000,3002000200025900,5
3002000240215000,3002000200026200,5
3002000240215000,3002000200026100,5
3001000240104000,3001000200002900,5
3001000240104000,3001000200003500,5
3001000240104000,3001000200002800,5
3001000240104000,3001000240103000,5
3001000240104000,3001000240105000,5
3002000240216000,3002000200025500,5
3002000240216000,3002000200025600,5
3002000240216000,3002000200025400,5
3002000240216000,3002000240215000,5
3002000240216000,3002000300027900,5
3002000240216000,3002000200026100,5
3002000240216000,3002000300028000,5
3002000240216000,3002000300028100,5
3002000240216000,3002000200026400,5
3002000240216000,3002000300028200,5
3002000240216000,3002000300028600,5
3002000340212000,3001000600021300,5
3002000340212000,3002000440211000,5
3002000340212000,3002000300026800,5
3002000340212000,3002000400032900,5
3002000340212000,3002000400033000,5
3002000340212000,3002000300026900,5
3002000340212000,3002000440213000,5
3002000340212000,3002000400033100,5
3002000340212000,3002000300027300,5
3002000340212000,3002000300027400,5
3001000640127000,3001000600020000,5
3001000640127000,3001000640124000,5
3001000640127000,3001000640126000,5
3001000640127000,3001000600020700,5
3002000240209000,3002000200024500,5
3002000240209000,3002000240204000,5
3002000240209000,3002000240208000,5
3002000240209000,3002000240210000,5
3002000240209000,3002000200025100,5
3001000340123000,3001000300008100,5
3001000340123000,3001000300008000,5
3001000340123000,3001000300008400,5
3001000340123000,3001000300008200,5
3001000340123000,3001000300008300,5
3001000340123000,3001000300008500,5
3001000240106000,3001000240105000,5
3001000240106000,3001000200004200,5
3001000240106000,3001000200004400,5
3001000240106000,3001000200004300,5
3001000240106000,3001000200004100,5
3001000240106000,3001000200004500,5
3001000240106000,3001000240112000,5
3001000240106000,3001000200005500,5
3001000240106000,3001000240107000,5
3001000240105000,3001000200003700,5
3001000240105000,3001000240104000,5
3001000240105000,3001000200003500,5
3001000240105000,3001000240103000,5
3001000240105000,3001000200003600,5
3001000240105000,3001000200004800,5
3001000240105000,3001000200004200,5
3001000240105000,3001000200004400,5
3001000240105000,3001000200004300,5
3001000240105000,3001000240106000,5
3002000240204000,3002000200023000,5
3002000240204000,3002000200024100,5
3002000240204000,3002000200024500,5
3002000240204000,3002000200023900,5
3002000240204000,3002000240208000,5
3002000240204000,3002000240209000,5
3002000240204000,3002000240210000,5
3002000140201000,3002000140202000,5
3002000140201000,3002000100021400,5
3002000140201000,3002000100022100,5
3002000240207000,3002000240208000,5
3002000240207000,3002000240205000,5
3002000240207000,3002000200024900,5
3002000240207000,3002000200025000,5
3002000240207000,3002000240206000,5
3001000440118000,3001000400010600,5
3001000440118000,3001000400010700,5
3001000440118000,3001000500017000,5
3001000440118000,3001000500017100,5
3001000440118000,3001000500018500,5
3001000440118000,3001000600019800,5
3001000440118000,3001000600019700,5
3001000340120000,3001000340122000,5
3001000340120000,3001000340121000,5
3001000140102000,3001000100000600,5
3001000240111000,3001000300006100,5
3001000240111000,3001000200005900,5
3001000240111000,3001000200005800,5
3001000240111000,3001000240110000,5
3001000140101000,3001000100002200,5
3001000140101000,3001000100002600,5
3001000140101000,3001000100000500,5
3001000140101000,3001000100002300,5
3001000640126000,3001000640127000,5
3001000640126000,3001000640124000,5
3001000640126000,3001000600020700,5
3001000640126000,3001000640125000,5
3002000340214000,3002000300026900,5
3002000340214000,3002000300027000,5
3002000340214000,3002000300027100,5
3002000340214000,3002000300027200,5
3002000340214000,3002000200025400,5
3002000340214000,3002000300027300,5
3002000340214000,3002000300027900,5
3002000340214000,3002000400034500,5
3002000340214000,3002000300028000,5
3001000640125000,3001000600020400,5
3001000640125000,3001000640124000,5
3001000640125000,3001000640126000,5
3001000640125000,3001000600020700,5
3001000640125000,3001000600020500,5
3001000640125000,3001000600020600,5
3001000640125000,3001000600021100,5
3001000240110000,3001000200005800,5
3001000240110000,3001000200005700,5
3001000240110000,3001000240111000,5
3001000240110000,3001000200005600,5
3001000240107000,3001000200004100,5
3001000240107000,3001000240106000,5
3001000240107000,3001000240108000,5
3001000240107000,3001000200004000,5
3001000240107000,3001000200005500,5
3001000240107000,3001000200005800,5
3001000240107000,3001000200005700,5
3002000140203000,3002000100021600,5
3002000140203000,3002000100021400,5
3002000140203000,3002000100022000,5
3002000140203000,3002000100021900,5
3002000140203000,3002000100021800,5
3002000440213000,3002000340212000,5
3002000440213000,3002000400033000,5
3002000440213000,3002000400033400,5
3002000440213000,3002000400033100,5
3001000440116000,3001000500010900,5
3001000440116000,3001000500012900,5
3001000440116000,3001000440115000,5
3001000440116000,3001000500013000,5
3001000440116000,3001000400010200,5
3002000440211000,3001000600021300,5
3002000440211000,3002000400031600,5
3002000440211000,3002000400031700,5
3002000440211000,3002000340212000,5
3002000440211000,3002000400032900,5
3002000240210000,3002000200024500,5
3002000240210000,3002000240204000,5
3002000240210000,3002000200024400,5
3002000240210000,3002000240209000,5
3002000240210000,3002000200025200,5
3002000240210000,3002000200025100,5
3002000240210000,3002000200025000,5
3002000240210000,3002000200025500,5
3002000240210000,3002000200025600,5
3001000240103000,3001000200003700,5
3001000240103000,3001000240104000,5
3001000240103000,3001000200002800,5
3001000240103000,3001000200002700,5
3001000240103000,3001000240105000,5
