Census_ID,Long,Lat
30135,73.75737,15.70644
301322,73.80183,15.66862
301109000,73.77577,15.66638
301324,73.73789,15.664904
30144,73.93856,15.65188
301327,73.76518,15.64453
30121,73.77947,15.6386
30122,73.77926,15.63777
30123,73.82621,15.63626
301112000,73.78725,15.62479
301210,73.85639,15.62463
30147,73.9224,15.6181
30148,73.95603,15.6158
301211,73.78729,15.61318
30149,73.97732,15.61265
301212,73.77543,15.60339
301106000,73.81521,15.60173
301223,73.84236,15.5972
301101000,73.94947,15.595
301213,73.74965,15.58882
301217,73.78817,15.5864
301218,73.79961,15.5845
301411,73.9752,15.58432
301219,73.82207,15.5827669
301412,73.91726,15.58201
30133,73.82422,15.573
301216,73.78453,15.57139
301214,73.76649,15.57052
301104000,73.80621,15.570201
301527,74.12821,15.56547
301541,74.16071,15.56215
301215,73.77978,15.55814
301542,74.14891,15.55599
301416,73.95916,15.55583
301540,74.16472,15.55557
301231,73.83092,15.55512
301232,73.80653,15.55002
301539,74.16617,15.54961
301543,74.11705,15.54591
301233,73.79052,15.54453
301102000,73.76704,15.54425
301237,73.85333,15.5376
30112,73.87749,15.53674
301552,74.16308,15.53362
301105000,73.9444,15.53295
301113000,74.14072,15.53145
301550,74.11601,15.53094
301236,73.81243,15.52845
30163,73.96684,15.52163
301235,73.7974,15.52094
301108000,73.83678,15.51606
301551,74.11697,15.51586
30162,73.96181,15.51216
301103000,73.77142,15.511
301110,73.93925,15.5101
30119,73.95028,15.50917
301111000,73.81505,15.50728
301234,73.78961,15.507259
301427,74.15795,15.506464
301560,74.14339,15.50519
301561,74.1311,15.5019
301112,73.92121,15.50159
302102000,73.87766,15.493442
301100000,73.85665,15.47721
301121,73.88932,15.47501
301200001,73.81759,15.47165
301128,73.87251,15.45837
301129,73.86527,15.43969
301615,74.01339,15.41839
301620,73.97469,15.40825
301110000,74.00979,15.40195
302211000,73.82422,15.3996
30221,73.85137,15.38977
301624,73.99662,15.38816
30222,73.88411,15.38675
30223,73.93761,15.3863
301625,74.03382,15.38584
302103000,73.91616,15.3841
30227,73.84528,15.36739
301107000,73.88573,15.36644
30224,73.90387,15.3606
30211,73.92506,15.35983
30228,73.88977,15.3544
30213,73.97295,15.35017
302116,74.00413,15.316091
30215,73.94792,15.3149
302107000,73.98388,15.30903
301631,74.08251,15.29566
302114,73.93888,15.28587
302119,74.02191,15.28576
302200001,73.9688,15.28498
302317,74.116,15.27579
302113,73.92892,15.273393
302120,73.98881,15.27054
302121,73.93443,15.27025
302122,73.92273,15.270043
302123,73.93147,15.26524
302126,73.97075,15.2636
30244,74.09443,15.2631843
302330,74.12846,15.25953
302100000,73.9362,15.258
302212,74.01111,15.25363
302201000,73.96183,15.25359
302331,74.15721,15.24697
30246,74.05853,15.24653
302105000,74.11596,15.24161
30245,74.08477,15.24067
302124,73.96134,15.2404
302125,73.98438,15.238446
30247,74.05392,15.236031
30248,74.06427,15.23545
302335,74.1921,15.23125
302132,74.02611,15.2287
302108000,74.15211,15.22849
302136,73.93868,15.2258
302131,74.04754,15.22214
302133,74.00294,15.21832
302332,74.14871,15.213735
30249,74.10099,15.2092
302410,74.12327,15.20879
302210001,73.81765,15.385992
302106000,74.07371,15.20472
302415,74.04869,15.19197
302104000,74.01407,15.1868
302139,73.97447,15.1801
302142,73.97269,15.16571
302416,74.05095,15.1634
302346,74.10149,15.1552
302417,74.03044,15.1534
302418,73.99358,15.14037
302422,74.01798,15.13333
30252,74.0016,15.04163
30253,74.06483,15.0311
302101000,74.04006,15.0095
30254,74.09458,14.98144
